,Author,Timestamp,Comment,Article Link
0,cusman,"December 15, 2023 at 8:26 am PST","Wow, so many. Happy Holidays to all of you right back!",https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
1,Valyrious,"December 15, 2023 at 8:36 am PST","Rain Code huh? Is that a bit of an oopsy, Spike Chunsoft? ;)",https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
2,Ravenous74,"December 15, 2023 at 9:11 am PST",Merry Christmas/Happy Holidays to everyone at PlayStation. Thank you for a great year! All the best in 2024💙,https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
3,ThePotatoElite,"December 15, 2023 at 9:20 am PST",My favorite part of Christmas :),https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
4,The_0neAbove_AIl,"December 15, 2023 at 10:19 am PST",Merry Christmas and Happy Holidays to everyone include gamers and PlayStation. Happy and best new year soon. 👍,https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
5,X---Subtle---X,"December 15, 2023 at 1:21 pm PST",Happy Christmas! Joyous Yuletide! Season’s Greetings! And a Happy New Year!,https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
6,yentair,"December 15, 2023 at 2:53 pm PST",All I want for Christmas is another Days Gone game from Bend Studio.  Loved every minute of the first one.Happy Festivus everyone!Thanks for all the great cards.  I can tell which studios actually tried and which ones phoned it in.  Lol,https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
7,namelessking627,"December 15, 2023 at 3:52 pm PST",Noooo fromsoftware didn’t do one!,https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
8,namelessking627,"December 15, 2023 at 3:53 pm PST",Anyway happy holidays to you too!,https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
9,babaykasus,"December 15, 2023 at 5:22 pm PST",I Realy like this greetings cards tradition!Merry Christmas  to everyone!!!,https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
10,Tusiczz,"December 15, 2023 at 5:59 pm PST",I miss Japan Studio,https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
11,InvadersMustDry,"December 16, 2023 at 8:32 pm PST",Don’t we all?,https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
12,jbumi,"December 16, 2023 at 6:16 am PST","I enjoy & look forward to seeing all the holiday cards every year!  This year they seem exceptionally fabulous!!  May everyone have a wonderful holiday season & spectacular new year.  Wishing for 2024 to be a year with NO layoffs (in or out of gaming), & a year we all try to be kinder to each other.  💝",https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
13,eugeneprunk,"December 18, 2023 at 12:25 am PST",the guerrilla’s one is the best 😍 love it!,https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
14,HassanBROBRE,"December 19, 2023 at 8:44 am PST","Happy holidays for you guys , enjoy in it!!! and Happy holidays for you too sony PS Team!!wish your 2024 will be the best ever!!! see your beautiful faces in 2024 ENJOY…",https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
15,Sushi_Combo,"December 19, 2023 at 9:05 am PST",Happy Holidays everyone!,https://blog.playstation.com/2023/12/15/seasons-greetings-2023-from-playstation-blog-and-friends/
