Game Title,Console,Commenter Name,Reviewer Type,Comment,Date Commented,Score Number,Release Date,Description,Game Link
synthetic lover,,,Critic,,,tbd,"Dec 22, 2023","In the year 2066, biologically engineered humanoids - 'biots' - make up a large percentage of the workforce.

The protagonist is one such biot and, like the rest of his colleagues, he lives to serve a single purpose: to fulfill his pre-programmed vocation. In his case, that is to be a companion in an adult entertainment center known as Dollhouse.

Servants exist as lifeless dolls until activated upon request, a biot's self-awareness and free will are sealed off by design. That is how the protagonist's days go until crossing paths with an opportunistic thief and a mysterious device in his possession

Synthetic Lover is a sci-fi story about an individual who discovers the challenges of being human. During his journey, he navigates through the ups and downs of an imperfect life while trying to avoid conflict with a powerful organization, learning to understand emotions, forming friendships, and possibly finding love along the way.",https://www.metacritic.com/game/synthetic-lover/
synthetic lover,,,User,,,,"Dec 22, 2023","In the year 2066, biologically engineered humanoids - 'biots' - make up a large percentage of the workforce.

The protagonist is one such biot and, like the rest of his colleagues, he lives to serve a single purpose: to fulfill his pre-programmed vocation. In his case, that is to be a companion in an adult entertainment center known as Dollhouse.

Servants exist as lifeless dolls until activated upon request, a biot's self-awareness and free will are sealed off by design. That is how the protagonist's days go until crossing paths with an opportunistic thief and a mysterious device in his possession

Synthetic Lover is a sci-fi story about an individual who discovers the challenges of being human. During his journey, he navigates through the ups and downs of an imperfect life while trying to avoid conflict with a powerful organization, learning to understand emotions, forming friendships, and possibly finding love along the way.",https://www.metacritic.com/game/synthetic-lover/
railbreak,,,Critic,,,tbd,"Dec 22, 2023","Power through hordes of zombies, '90s arcade style, in this on-rails survival horror shooter.",https://www.metacritic.com/game/railbreak/
railbreak,,,User,,,,"Dec 22, 2023","Power through hordes of zombies, '90s arcade style, in this on-rails survival horror shooter.",https://www.metacritic.com/game/railbreak/
mortal kombat 1 quan chi,,,Critic,,,tbd,,,
mortal kombat 1 quan chi,,,User,,,,,,
three minutes to eight,PC,Adventure Gamers,Critic,"The gripping science-fiction narrative in Three Minutes To Eight features an ingenious use of random elements that, combined with well-executed pixel art graphics and accomplished voice acting, ensure that each experience is unique.","Nov 29, 2023",100,"Dec 21, 2023","Set in the near future, Three Minutes To Eight is a mind-bending pixel art adventure game that breaks the mold by introducing an intriguing twist: the protagonist is destined to meet their demise at precisely 07:57 PM. However, hope is not lost. It's up to you to unravel what lies beneath, uncover secret paths, find ways to cheat death, and unlock multiple endings. 

Each run is distinct, with randomized elements and unique events, urging you to revisit the game multiple times to discover all its hidden mysteries. Find yourself in an ever-evolving gaming experience, mimicking a borderline state of mind that teeters on the edge of consciousness, where everything is possible yet remains elusive.",https://www.metacritic.com/game/three-minutes-to-eight/
three minutes to eight,,,User,,,,"Dec 21, 2023","Set in the near future, Three Minutes To Eight is a mind-bending pixel art adventure game that breaks the mold by introducing an intriguing twist: the protagonist is destined to meet their demise at precisely 07:57 PM. However, hope is not lost. It's up to you to unravel what lies beneath, uncover secret paths, find ways to cheat death, and unlock multiple endings. 

Each run is distinct, with randomized elements and unique events, urging you to revisit the game multiple times to discover all its hidden mysteries. Find yourself in an ever-evolving gaming experience, mimicking a borderline state of mind that teeters on the edge of consciousness, where everything is possible yet remains elusive.",https://www.metacritic.com/game/three-minutes-to-eight/
bigfoots journey,,,Critic,,,tbd,,,
bigfoots journey,,,User,,,,,,
asonde shogi ga tsuyoku naru ginsei shogi dx2,,,Critic,,,tbd,,,
asonde shogi ga tsuyoku naru ginsei shogi dx2,,,User,,,,,,
rhapsody ii ballad of the little princess,PC,RPG Fan,Critic,"It’s unfortunate that it took over twenty years for the West to experience Rhapsody II properly, as the game is incredibly fun, amusing, and full of both heart and charm. The characters are just as hilarious as they are heartfelt, the musical numbers make the game stand out amongst its peers, and the game is wildly creative in every aspect. Rhapsody II‘s short length ensures it’s a breezy experience and a perfect palette cleanser amidst the sea of RPGs set in miserable worlds. Rhapsody II is a vastly improved sequel on all fronts, and while it has a few minor blemishes, it’s easy to recommend to anyone looking for a unique experience.","Aug 24, 2023",80,,,
rhapsody ii ballad of the little princess,,,User,,,,,,
this bed we made,PlayStation 5,PlayStation Universe,Critic,"This Bed We Made is a great game that kept me returning for more. I loved the narrative experience and the human element of its story. Though it was a short experience, the various paths to take to the ending had me trying repeatedly to see every scene and ending. Sophie is a unique character that I grew to love and was driven to protect no matter what. This Bed We Made is a game I highly recommend.","Nov 4, 2023",80,"Dec 20, 2023","February 17, 1958. Sophie's shift at the Clarington Hotel begins like any other - until she opens the door to room 505 and a crimson light comes out...

This Bed We Made is a third-person narrative mystery game offering a 4 to 6 hour gameplay experience that allows you to indulge your curiosity about the hidden lives of others. Take on the role of Sophie, a nosy chambermaid in the 1950s, and discover the sinister mystery that binds the hotel guests through the strange objects they bring on their travels.",https://www.metacritic.com/game/this-bed-we-made/
