Game_Title,Genres,Developers,Publishers,Release_date
3D Billiards: Pool & Snooker Remastered,Sports,Joindots,Joindots,2/19/2021
Aeterna Noctis,Metroidvania,Aeternum Game Studios,Aeternum Game Studios,12/15/2021
AEW Fight Forever,Sports,Yuke's,AEW Games,6/29/2023
Age of Wonders 4,Turn-based strategy,Triumph Studios,Paradox Interactive,5/2/2023
Alan Wake Remastered,Survival horror,Remedy Entertainment,Microsoft Game Studios,10/4/2021
Alan Wake II,Survival horror,Remedy Entertainment,Epic Games Publishing,10/27/2023
Alex Kidd in Miracle World DX,Platform,Jankenteam,Merge Games,6/22/2021
Alfred Hitchcock – Vertigo,Adventure,Pendulo Studios,Microids,10/4/2022
Aliens,Action-adventure,Sabec Limited,Sabec Limited,3/31/2021
Aliens: Fireteam Elite,"Action-adventure
third-person shooter",Cold Iron Studios,Cold Iron Studios,8/24/2021
Aliens: Dark Descent,Turn-based strategy,Tindalos Interactive,Focus Entertainment,6/20/2023
Alice Gear Aegis CS: Concerto of Simulatrix,Action,Pyramid,MagesPQube (International version),3/14/2023
Among Us,"Party
social deduction",Innersloth,Innersloth,12/14/2021
Anno 1800,Real-time strategy,Blue Byte,Ubisoft,3/16/2023
Avatar: The Last Airbender: Quest for Balance,Action-adventure,Bamtang Games,GameMill Entertainment,9/22/2023
Anno: Mutationem,Action role-playing,ThinkingStars,ThinkingStars,3/16/2022
Anodyne 2: Return to Dust,Action-adventure,Analgesic Productions,Ratalatika Games,2/18/2021
Apex Legends,"Battle royale
hero shooter",Respawn Entertainment,Electronic Arts,3/29/2022
Apsulov: End of Gods,Horror,Angry Demon Studios,Digerati Distribution,8/27/2021
Aragami 2,"Action-adventure
stealth",Lince Works,Lince Works,9/17/2021
Arcadegeddon,Shooter,IllFonic,IllFonic,7/8/2021
Armored Core VI: Fires of Rubicon,Mech,FromSoftware,Bandai Namco Entertainment,8/25/2023
Asterix & Obelix: Slap Them All! 2,Fighting game,Mr Nutz Studio,Microïds,11/14/2023
Arcade Paradise,"Adventure
simulation",Nosebleed Interactive,Wired Productions,8/11/2022
Arrog,Adventure,"Hermanos Magia
Leap Game Studios",nakana.io,2/5/2021
Art of Rally,Racing,Funselektor Labs,Funselektor Labs,10/6/2021
The Artful Escape,Platform,Beethoven & Dinosaur,Annapurna Interactive,1/25/2022
The Ascent,Action role-playing,Neon Giant,Curve Digital,3/24/2022
Assassin's Creed Valhalla,Action role-playing,Ubisoft Montreal,Ubisoft,11/12/2020
Assassin's Creed Mirage,Action role-playing,Ubisoft Bordeaux,Ubisoft,10/5/2023
Assetto Corsa Competizione,Racing,Kunos Simulazioni,505 Games,2/24/2022
Asterigos: Curse of the Stars,Action role-playing,Acme Gamestudio,Acme Gamestudio,10/11/2022
Astria Ascending,Role-playing,Artisan Studios,Dear Villagers,9/30/2021
Astro's Playroom,3D platformer,Japan Studio,Sony Interactive Entertainment,11/12/2020
Atelier Marie: The Alchemist of Salburg - Digital Deluxe Edition,Role-playing,Gust Co. Ltd.,Koei Tecmo,7/13/2023
Atelier Ryza 2: Lost Legends & the Secret Fairy,Role-playing,Gust Co. Ltd.,Koei Tecmo,1/26/2021
Atomic Heart,First-person shooter,Mundfish,Mundfish,2/21/2023
Auto Chess,Auto battler,Dragonest Game,Dragonest Game,3/30/2021
Avatar: Frontiers of Pandora,Action-adventure,Massive Entertainment,Ubisoft,12/7/2023
Marvel's Avengers,Action-adventure,Crystal Dynamics,Square Enix,3/18/2021
Aztech: Forgotten Gods,Action-adventure,Lienzo,Lienzo,3/10/2022
Babylon's Fall,Action,PlatinumGames,Square Enix,3/3/2022
Back 4 Blood,"First-person shooter
survival horror",Turtle Rock Studios,WB Games,10/12/2021
Balan Wonderworld,3D platformer,"Balan Company
Arzest",Square Enix,3/26/2021
Baldur's Gate III,Role-playing,Larian Studios,Larian Studios,9/6/2023
Battlefield 2042,First-person shooter,DICE,Electronic Arts,11/19/2021
Batora: Lost Haven,Action role-playing,Stormind Games,Team17,10/20/2022
Beyond a Steel Sky,Adventure,Revolution Software,Revolution SoftwareMicroids,11/30/2021
The Binding of Isaac: Repentance,Roguelike,Nicalis,Nicalis,11/4/2021
Bluey: The Videogame,"Action game
Adventure",Artax Games,Outright Games,11/17/2023
Biomutant,Action role-playing,Experiment 101,THQ Nordic,9/6/2022
Black Legend,Turn-based strategy,Warcave,Warcave,3/25/2021
Blast Brigade vs. the Evil Legion of Dr. Cread,"Action-adventure
platform",Allods Team Arcade,My.Games,4/13/2022
Blood Bowl 3,"Sports
turn-based strategy",Cyanide,Nacon,2/23/2023
BloodRayne Betrayal: Fresh Bites,"Hack and slash
platform",WayForward,Ziggurat Interactive,9/9/2021
Borderlands 3,"Action role-playing
first-person shooter",Gearbox Software,2K,11/12/2020
Bratz: Flaunt Your Fashion,"Action
adventure",Petoons Studio,Outright Games,11/4/2022
Breakout: Recharged,Puzzle,"Adamvision Studios
SneakyBox",Atari,2/10/2022
Bridge Constructor: The Walking Dead,Puzzle,ClockStone,Headup Games,12/15/2020
Bugsnax,"Adventure
platform",Young Horses,Young Horses,11/12/2020
C14 Dating,Dating Simulation,Ratalaika Games,Ratalaika Games,3/30/2021
Cocoon,"Puzzle
Indie game
Action game
Adventure game",Geometric Interactive,Annapurna Interactive,9/29/2023
Call of Duty: Black Ops Cold War,First-person shooter,"Raven Software
Treyarch",Activision,11/13/2020
Call of Duty: Modern Warfare II,First-person shooter,Infinity Ward,Activision,10/28/2022
Call of Duty: Modern Warfare III,First-person shooter,Infinity Ward,Activision,11/10/2023
Call of Duty: Vanguard,First-person shooter,Sledgehammer Games,Activision,11/5/2021
Call of Duty: Warzone 2.0,"Battle royale
first-person shooter","Raven Software
Infinity Ward",Activision,11/16/2022
Call of the Sea,"Adventure
puzzle",Out of the Blue,Raw Fury,5/11/2021
The Callisto Protocol,Survival horror,Striking Distance Studios,Krafton,12/2/2022
Can't Drive This,Racing,Pixel Maniacs,Perp Games,3/19/2021
The Centennial Case: A Shijima Story,Adventure,h.a.n.d.,Square Enix,5/12/2022
Centipede: Recharged,Puzzle,"Adamvision Studios
SneakyBox","Atari, Inc.",9/29/2021
Century: Age of Ashes,Action,Playwing,Playwing,9/26/2022
Chernobylite,Survival,The Farm 51,All In! Games,4/21/2022
Crazy Chicken X,Casual,Korion Interactive,Markt+Technik,12/13/2023
Crazy Chicken Wanted,Casual,Independent Arts Software,Markt+Technik,7/7/2021
Crazy Chicken Kart 2,Driving/Racing,Korion Interactive,Markt+Technik,5/31/2022
Crazy Chicken Xtreme,Action,Korion Interactive,Markt+Technik,6/15/2022
Crazy Chicken Remake,"Arcade
Casual",Independent Arts Software,Markt+Technik,7/9/2021
Crazy Chicken Jump 'n' Run Traps and Treasures,"Action
Casual",Higgs Games,Markt+Technik,8/4/2022
Crazy Chicken Jump 'n' Run Traps and Treasures 2,Action,Korion Interactive,Markt+Technik,12/25/2023
Chicory: A Colorful Tale,"Adventure
puzzle",Greg Lobanov,Finji,6/10/2021
Chivalry 2,Hack and slash,Torn Banner Studios,"Deep Silver
Tripwire Interactive",6/8/2021
Chorus,Space combat,Fishlabs,Deep Silver,12/3/2021
Clash: Artifacts of Chaos,Action-adventure,ACE Team,Nacon,3/9/2023
Clid the Snail,Shoot 'em up,Weird Beluga Studio,Koch Media,12/15/2021
Company of Heroes 3,Real-time strategy,Relic Entertainment,Sega,5/30/2023
Concept Destruction,Vehicular combat,Ratalaika Games,Ratalaika Games,11/12/2020
Control: Ultimate Edition,"Third-person shooter
action-adventure",Remedy Entertainment,505 Games,2/2/2021
Crash Bandicoot 4: It's About Time,Platform,Toys for Bob,Activision,3/12/2021
Crash Drive 3,Racing,M2H,M2H,7/8/2021
Cricket 22,Sports,Big Ant Studios,Nacon,11/25/2021
Crimsonland,Shoot 'em up,10tons,10tons,1/20/2021
Cris Tales,Action role-playing,"Dreams Uncorporated
SYCK",Modus Games,7/20/2021
Crisis Core: Final Fantasy VII Reunion,Role-playing,Square Enix,Square Enix,12/13/2022
CRSED: F.O.A.D.,First-person shooter,Darkflow Studio,Gaijin Entertainment,12/15/2020
Crusader Kings III,"Grand strategy
role-playing","Paradox Development Studio
Lab42 Games",Paradox Interactive,3/29/2022
Cthulhu Saves Christmas,Role-playing,Zeboyd Games,Zeboyd Games,12/22/2020
Curse of the Sea Rats,Metroidvania,Petoon Studios,PQube,4/6/2023
Curved Space,Twin-stick shooter,Only By Midnight,Maximum Games,6/29/2021
Cyanide & Happiness - Freakpocalypse (Episode 1),Point-And-Click Adventure,Explosm GamesSkeleton Crew Studios,Serenity Forge,10/26/2021
Cyberpunk 2077,Action role-playing,CD Projekt Red,CD Projekt,2/15/2022
Cyber Shadow,"Action
platform",Mechanical Head Studios,Yacht Club Games,1/26/2021
CYGNI: All Guns Blazing,Shoot 'em up,KeelWorks,KeelWorks,9/19/2023
The Dark Pictures Anthology: House of Ashes,"Interactive drama
survival horror",Supermassive Games,Bandai Namco Entertainment,10/22/2021
Darq: Complete Edition,Psychological horror,Unfold Games,Feardemic,3/25/2021
Dauntless,Action role-playing,Phoenix Labs,Epic Games,12/2/2021
Dawn of the Monsters,Beat 'em up,13AM Games,WayForward,3/15/2022
Daymare: 1994 Sandcastle,Survival horror,Invader Studios,Leonardo Interactive,8/30/2023
DC League of Super-Pets: The Adventures of Krypto and Ace,Rail shooter,PHL Collective,Outright Games,9/29/2022
Dead by Daylight,Survival horror,Behaviour Interactive,Behaviour Interactive,11/12/2020
Deadcraft,Survival,Marvelous First Studio,"JP: Marvelous
WW: Xseed Games",5/19/2022
Dead Island 2,Action role-playing,Dambuster Studios,Deep Silver,4/21/2023
