,Game Title,Console,Commenter Name,Reviewer Type,Comment,Date Commented,Score Number
0,blandia,null,null,Critic,null,null,tbd
1,blandia,null,null,User,null,null,null
2,xaladia rise of the space pirates x2,null,null,Critic,null,null,tbd
3,xaladia rise of the space pirates x2,null,null,User,null,null,null
4,bloodshore,PC,IGN France,Critic,"If you want to try a interactive FMV Battle Royale, Bloodshore does it perfectly with a touch of originality and a great replayability.","Nov 2, 2021",57
5,bloodshore,null,null,User,null,null,6.7
6,bloodshore,null,null,User,null,null,null
7,gargoyles remastered,PlayStation 4,Gaming Age,Critic,"Perhaps this title might inspire someone to work on a title which aligns more to the property… Otherwise buy it if you want to support the franchise, but if you’re looking for an enjoyable platformer there’s other options available out there. I guess it goes without saying, perhaps we shouldn’t have disturbed these relics of the past…","Oct 30, 2023",58
8,gargoyles remastered,null,null,User,null,null,null
9,harmonys odyssey,PC,GameSpace,Critic,"Harmony's Odyssey is a wonderful, whimsical adventure game ripe with a handful of puzzle types. With well over 100 puzzles, plus mini-games and an arcade mode, there's plenty to do for the price tag. If jigsaw and ""find the differences"" puzzle-type games aren't your thing then unfortunately Harmony's Odyssey won't turn you around and make you a fan. It's aimed at a specific type of gamer and what it does, it does well!","Dec 18, 2022",80
10,harmonys odyssey,null,null,User,null,null,null
11,godlike burger,PC,KeenGamer,Critic,"Godlike Burger is a challenging simulation game that requires you to learn from your failures. You will have to find a way to make money from customers and use them as a viable meat source. With many planets to explore, you will have a lot of content to play through. Unfortunately, awkward controls and odd interface choices hold this game back, but not enough to take away from its powerful strengths.","May 19, 2022",80
12,godlike burger,null,null,User,null,null,null
13,racket fury table tennis vr,PlayStation 4,GMW3,Critic,"Overall, Racket Fury: Table Tennis VR is a good table tennis simulator with great physics and a pleasant backdrop, but the lack of multiplayer and strange absence of music leave holes in what would otherwise be a very satisfying title. This is one of enthusiasts, though once the multiplayer comes out, it might be worth a second luck.","Oct 4, 2018",60
14,racket fury table tennis vr,null,null,User,null,null,6.8
15,racket fury table tennis vr,null,null,User,null,null,null
16,who pressed mute on uncle marcus,PlayStation 4,Finger Guns,Critic,"One of the best FMV games to be released in years, ‘Who Pressed Mute On Uncle Marcus?’ is a brilliant combination of a relatable, oddball comedy and a whodunit mystery drama. The acting is superb, the script and editing is tight, it’s deeply replayable and it manages to balance its tone to take you on a really cathartic journey.","Mar 17, 2022",72
17,who pressed mute on uncle marcus,null,null,User,null,null,4.9
18,who pressed mute on uncle marcus,null,null,User,null,null,null
19,jujubos,Xbox One,TheXboxHub,Critic,"You have to get over the hurdle that this is clearly Lemmings, but with some annoying barbs. And you need to ignore the rough presentation. Clear all of those, and Jujubos is an ingenious riff on a classic","Nov 26, 2023",70
20,jujubos,null,null,User,null,null,null
