,Author,Timestamp,Comment,Article Link
0,lulzPIE,"December 19, 2023 at 5:54 pm PST",Excited to see Baldur’s Gate 3 on the list.,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
1,buggyboitrries,"December 23, 2023 at 7:40 pm PST",finding bugs,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
2,buggyboitrries,"December 23, 2023 at 7:41 pm PST",alert(“no bugs found :)”),https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
3,Huarache00,"December 19, 2023 at 6:01 pm PST","Are you sure this is live? The copy does say it “runs from Tuesday December 19”, but the store doesn’t even show it: the End Of Year Deals promo is still on until tomorrow the 20th, so it makes sense that this one goes live tomorrow, not today…",https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
4,princesa_aurora,"December 19, 2023 at 6:50 pm PST",It goes on twr the 20!,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
5,Huarache00,"December 19, 2023 at 9:06 pm PST",I’m glad I didn’t say anything about this article mentioning a list and then failing to post it: it’s not showing in Safari on iPhone. It does in Firefox though.,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
6,princesa_aurora,"December 19, 2023 at 6:49 pm PST",I’m so excited staying up ofc!,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
7,phurin26,"December 20, 2023 at 7:28 am PST",I am disappointed that the last of us part II doesn’t on sale at the end of the year. ;(,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
8,vrt3ual,"December 20, 2023 at 8:42 am PST","Had to cancel my PS4 Plus subscription,  can’t believe the increase  of $30.00.Doubt there will be any holiday deals!😒",https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
9,medenko1975,"December 20, 2023 at 10:07 am PST",too expensive.,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
10,namelessking627,"December 20, 2023 at 1:51 pm PST",Goodness me! That’s a long list,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
11,goodtar7,"December 22, 2023 at 7:41 am PST",Will guys ever consider loading the Blazing Angels games to the store or revamp them?  I loved those games!,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
12,rodman_xx,"December 20, 2023 at 4:29 pm PST","How many of us literally bought one of these game within the past 2 weeks? 2 for me…I think if you buy a game on psn site. If the price drops over 30% we get points for the amount diff. I swear everytime I buy s game. It either comes out as free on extra, monthly game or goes on sale less than 3 weeks later. The ONLY exception being Last of us remastered.But after no pre order options for members got removed its to be expected. So much for the ps5 pro, no preorders for members and will have to get one off ebay for 1k. I miss the days of preorders for consoles,  what happed?",https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
13,Sushi_Combo,"December 21, 2023 at 9:26 am PST",If you buy the game you don’t need to worry about the license expiring if you allow your membership to lapse.,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
14,HassanBROBRE,"December 20, 2023 at 6:55 pm PST",:) i bought Anthem EA GAME for only $1 or 1EURO :) How lucky i was in that :),https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
15,cusman,"December 21, 2023 at 8:53 am PST",Picked up 5 different PSVR2 games I had been holding out on.,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
16,FAITHFUL_77,"December 21, 2023 at 11:29 am PST",I’m curious why the heading says the games for the holiday sale are good through January 17th according to the main heading but if you click the individual games themselves it says they end on January 7th.,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
17,yasink,"December 24, 2023 at 10:38 pm PST",Some end sooner than date stated for end as new items will be added from 7th until end,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
18,last-outlaw_879,"December 22, 2023 at 1:41 am PST",Bought 5 games at the End of Year sales. All trash.,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
19,scibba,"December 23, 2023 at 5:59 pm PST",Happy holiday PlayStation,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
20,buggyboitrries,"December 23, 2023 at 7:40 pm PST",alert(“i am from hackerone”),https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
21,HassanBROBRE,"December 24, 2023 at 5:04 pm PST",Anthem EA GAME is now even cheaper than Coca Cola lool go get that before its expired FOR ONLY 1$,https://blog.playstation.com/2023/12/19/the-holiday-sale-promotion-comes-to-playstation-store-2/
22,CrimsonMarkasaur,"November 14, 2023 at 9:45 pm PST",Pretty chill.. mostly the same stuff again and again on sale. Ive picked up just about every decent title thats $10 and under.   Some good gems up in there. Had more fun with $2-5 games then some AAA 70 slog fests,https://blog.playstation.com/2023/11/14/playstation-indies-promotion-comes-to-playstation-store/
23,CrimsonMarkasaur,"November 14, 2023 at 10:01 pm PST","Some standout titles (no particular genre or order) Assault Suit LeynosBroforceChants of SennarCosmo bitCrisis Vrigade 1+2Curses and ChaosDojoranDredgeESCHATOSFireGirlFur SquadronHidden Cats in LondonKonrads KittensMarfushaNatskui chroniclesRush roverSpelunky 1 +2The knight witcHWalkabout mini golf!Windlands 1+2 Fill up then backlogs, get some cheap gaming on!",https://blog.playstation.com/2023/11/14/playstation-indies-promotion-comes-to-playstation-store/
24,MrXile,"November 15, 2023 at 1:59 am PST",Indie games are usually 8bit style rubbish and occasionally a game comes along. These all should all be on PS Plus tiers.   Freely.  For everyone.,https://blog.playstation.com/2023/11/14/playstation-indies-promotion-comes-to-playstation-store/
