Date,Title,Author,Game Title,Comment Count,Link
3h ago,,Noah Hunter,GameSwitch Sports,2,https://www.ign.com/articles/daily-deals-the-last-of-us-part-i-spider-man-miles-morales-gopro-hero-11
4h ago,,Chris Reed,GameFinal Fantasy 7 Rebirth,26,https://www.ign.com/articles/video-game-release-dates-ps4-ps5-xbox-one-series-x-nintendo-switch
16h ago,,Shailyn Cotten,GameArmored Core 6,0,https://www.ign.com/articles/how-to-unlock-all-armored-core-6-endings
1d ago,,Noah Hunter,TechLogitech G Pro X Gaming Headset,0,https://www.ign.com/articles/daily-deals-persona-5-royal-jbl-charge-5-logitech-g-pro-x
1d ago,,Jesse Schedeen,TV ShowAgatha,87,https://www.ign.com/articles/what-to-expect-marvel-2024-deadpool-x-men-echo
1d ago,,Adam Bankhurst,GameFinal Fantasy VI,46,https://www.ign.com/articles/final-fantasy-7-rebirth-creative-director-discusses-the-scene-everyone-cant-wait-to-see
1d ago,,Rosie Knight,GameCoffee Talk,719,https://www.ign.com/articles/cute-queer-video-games-to-play
2d ago,,Grant Stoner,GameTekken 8,46,https://www.ign.com/articles/tekken-8-colorblind-filter-is-causing-vertigo-and-migraines-for-disabled-players
2d ago,,Simon Cardy,GameDS2: Death Stranding 2,10,https://www.ign.com/articles/what-to-expect-from-playstation-in-2024
2d ago,,Adam Mathew,Null,0,https://www.ign.com/articles/the-best-discounts-going-for-baldurs-gate-3-alan-wake-2-rise-of-the-ronin-and-more-au-deals
3d ago,,Adam Bankhurst,GameApex Legends,167,https://www.ign.com/articles/steam-reveals-its-best-selling-and-most-played-games-of-2023
3d ago,,Joshua Yehl,MovieJoker: Folie à Deux,85,https://www.ign.com/articles/what-to-expect-dc-movies-tv-games-comics-2024
3d ago,,Taylor Lyles,GameThe House of the Dead,31,https://www.ign.com/articles/sinden-ligh-gun-interview
3d ago,,Michael Cripe,GameGod of War: Ragnarok,156,https://www.ign.com/articles/god-of-wars-christopher-judge-seemingly-wont-voice-young-kratos-out-of-respect-for-tc-carson
4d ago,,Adam Bankhurst,GameA Plague Tale: Requiem,358,https://www.ign.com/articles/playstation-plus-games-for-january-2024-announced
4d ago,,Noah Hunter,TechLogitech G Pro X Superlight 2,1,https://www.ign.com/articles/daily-deals-2tb-gen-4-ssd-asus-rog-strix-monitor-logitech-pro-x-superlight-mouse
4d ago,,Ryan Dinsdale,GameThe Witcher 3,15,https://www.ign.com/articles/geralt-of-rivia-voice-actor-doug-cockle-on-more-witcher-games-his-netflix-film-ai-and-more
4d ago,,Hannah Hoolihan,GamePlayStation 5,110,https://www.ign.com/articles/best-playstation-ps5-deals
4d ago,,Shailyn Cotten,GameFinal Fantasy XVI,2,https://www.ign.com/articles/all-final-fantasy-16-hunt-board-locations
4d ago,,Adam Bankhurst,GameFallout 4,80,https://www.ign.com/articles/fallout-london-the-dlc-sized-mod-for-fallout-4-gets-a-new-release-date-near-the-prime-video-show
4d ago,,Adam Mathew,Null,0,https://www.ign.com/articles/a-historic-low-on-mario-wonder-60-off-a-dualsense-edge-and-the-best-boxing-day-bargains-continued-au-deals
5d ago,,Jesse B. Gill,TV ShowAndor,136,https://www.ign.com/articles/what-to-expect-from-star-wars-in-2024
5d ago,,Ryan Dinsdale,GameBaldur's Gate III,49,https://www.ign.com/articles/igns-biggest-gaming-entertainment-and-tech-news-stories-of-2023
6d ago,,IGN Staff,GameAlan Wake 2,40,https://www.ign.com/articles/spider-man-2-alan-wake-2-goty-roundtable-conversation
6d ago,,IGN Global Studios,GameArizona Sunshine II,12,https://www.ign.com/articles/how-arizona-sunshine-2-ups-the-vr-zombie-survival-ante
6d ago,,Shailyn Cotten,GameBaldur's Gate III,4,https://www.ign.com/articles/baldurs-gate-3-companions-and-romance-guide
6d ago,,Adam Mathew,Null,0,https://www.ign.com/articles/the-best-xmas-and-boxing-day-gaming-deals-in-australia-au-deals
7d ago,,Noah Hunter,GameGod of War: Ragnarok,0,https://www.ign.com/articles/daily-deals-xbox-series-x-astro-a30-gaming-headset-god-of-war-ragnarok
7d ago,,Matt Kim,GameGTA,79,https://www.ign.com/articles/best-gta-games
8d ago,,Noah Hunter,TechBose QC45,3,https://www.ign.com/articles/daily-deals-xbox-series-x-bose-quietcomfort-45-resident-evil-4
8d ago,,Callum Williams,GameDoom,28,https://www.ign.com/articles/all-bethesda-games-in-order
9d ago,,Shailyn Cotten,GameBaldur's Gate III,4,https://www.ign.com/articles/essential-baldurs-gate-3-side-quests-you-shouldnt-skip
9d ago,,Alex Stedman,GamePillars of Eternity 2: Deadfire,65,https://www.ign.com/articles/indie-publisher-versus-evil-is-shutting-down-entire-staff-laid-off
9d ago,,Adam Bankhurst,GameWolverine,321,https://www.ign.com/articles/insomniac-games-shares-a-message-regarding-the-cyberattack-like-logan-insomniac-is-resilient
9d ago,,Tom Marks,GameCrime Boss,76,https://www.ign.com/articles/worst-reviewed-games-2023
9d ago,,Ryan Dinsdale,GameCyberpunk 2077,85,https://www.ign.com/articles/cd-projekt-reveals-how-it-made-cyberpunk-2077s-male-and-female-protagonists-in-equal-measure
9d ago,,Ryan Dinsdale,GameCyberpunk 2077,119,https://www.ign.com/articles/cyberpunk-2-may-have-grander-branching-storylines-based-on-players-starting-life-path
9d ago,,Matt Purslow,GameAmnesia: The Bunker,2,https://www.ign.com/articles/ign-uk-podcast-728-the-2023-alternative-game-awards
9d ago,,Ryan Dinsdale,GameThe Day Before,90,https://www.ign.com/articles/the-day-before-servers-shutting-down-next-month-leaving-game-active-for-just-45-days
