,Game Title,Console,Commenter Name,Reviewer Type,Comment,Date Commented,Score Number
0,clutter evolution beyond xtreme,null,null,Critic,null,null,tbd
1,clutter evolution beyond xtreme,null,null,User,null,null,null
2,creepy tale,Nintendo Switch,Pure Nintendo,Critic,"Creepy Tale is aptly titled; it had no trouble giving me goosebumps. The gloomy atmosphere is aesthetically pleasing and the cryptic puzzles will tease your brain, bordering on frustrating at times – patience and trial and error are key attributes here. This one will likely appeal to fans of point-and-click style puzzle games with horror elements.","Aug 2, 2020",54
3,creepy tale,null,null,User,null,null,5.6
4,creepy tale,null,null,User,null,null,null
5,hiq ace unlimited,null,null,Critic,null,null,tbd
6,hiq ace unlimited,null,null,User,null,null,null
7,jinki unlimited ,null,null,Critic,null,null,tbd
8,jinki unlimited ,null,null,User,null,null,null
9,evil dead the game game of the year edition,null,null,Critic,null,null,tbd
10,evil dead the game game of the year edition,null,null,User,null,null,null
11,neko rescue tale,Xbox Series X,TheXboxHub,Critic,"If you’ve been lured in by the cat, then you should probably know that Neko Rescue Tale has all the worst aspects of one. It gives you a false sense of security by looking cute, curling up in your lap. But once you start playing with it, the claws come out, as poor level design, collision detection, platforming and - most of all - combat all cause blood to flow.","May 29, 2023",40
12,neko rescue tale,null,null,User,null,null,null
13,ever maiden daraku no sono no otome tachi,null,null,Critic,null,null,tbd
14,ever maiden daraku no sono no otome tachi,null,null,User,null,null,null
15,superfidos,null,null,Critic,null,null,tbd
16,superfidos,null,null,User,null,null,null
17,clutter 1000,null,null,Critic,null,null,tbd
18,clutter 1000,null,null,User,null,null,null
19,mangavania,Xbox Series X,Movies Games and Tech,Critic,"Mangavania is an old-school platformer with a dated aesthetic. What's more, its simple approach works well because of the short stages. However, if you wish to find everything, you must unlock every skill and return to explore the otherwise unreachable areas. My only complaints are a lack of depth and that it ends far too soon.","Apr 23, 2023",70
20,mangavania,null,null,User,null,null,null
21,argonauts agency golden fleece,Xbox One,TheXboxHub,Critic,"If you have played them before, and you’ve grown frustrated that 8floor Games never seem to release a coherent, bug-free and ambitious title, then stop the Argo for a moment. Argonauts Agency 1: Golden Fleece is the one.","Nov 26, 2023",80
22,argonauts agency golden fleece,null,null,User,null,null,null
23,afterimage,PC,The Games Machine,Critic,"Not just a pretty face: Afterimage is not only a beautiful metroidvania, but also a very competent one, clever in taking inspiration from the right sources and able to deliver a world that you never get tired of exploring. Good thing too, considering how big it is.","May 18, 2023",79
24,afterimage,PC,Everyeye.it,Critic,"Although not without flaws, Afterimage manages to stand out in the panorama of 2D adventures in metroidvania sauce, thanks to its wonderful backdrops, good level design and playful structure. Augoron Shanghai's efforts to make the journey interesting from start to finish are evident, and we believe that fans of intricate stories, labyrinthine maps and important boss fights should not miss the opportunity to step into the shoes of young Renee.","May 2, 2023",85
25,afterimage,PC,MauricioVB,User,"I wasn’t prepared for such a huge game! I bought it without doing much research and it really surprised me. Bad reviews don’t represent the game, if you’re a fan of metroidvania games, you’l definitely love it.Pros, it’s a very long game, doesn’t feel tedious because you have dozens of equipments and weapons and different combat styles for different weapons. Tons of enemies and each with different drop items, lots of bosses. Cons, the game is that huge that you get stuck pretty often and don’t know where to go. Some abilities of weapons aren’t explained and some definitions that aren’t clear, as well as some quests, the endings could have been more elaborated, it’s so much gameplay for the endings being so… is that all? Comparing pros vs cons, considering it’s not a huge budget company that makes it and considering the low price, the game is a solid 10.","Dec 12, 2023",7.2
26,afterimage,PC,bokarsh-z,User,"==========
only worth 20 dollar
==========
- 30 - 60 hour long.

-confusing meh story, very repetitive combat, annoying backtracking and glitches. -bad missions they dont tell u very will what to do and all 10 bad disappointment endings. -most thing ruined the game is very limited fast travel item to teleport anywhere really!! then u get ability teleport but not all locations only big trees its very annoying.

-best part from the game big map, alot of bosses, alot of enemies type and skills.","May 11, 2023",6
27,trinity trigger,Nintendo Switch,Impulsegamer,Critic,"Trinity Trigger is a graphically bland but thoroughly enjoyable blend of action, exploration and RPG elements – the only thing holding it back is a story that doesn’t seem interested enough in the potential of its own fascinating worldbuilding.","Jun 1, 2023",73
28,trinity trigger,Nintendo Switch,Nintendo Life,Critic,"JRPG fans can rest easy knowing that Trinity Trigger will meet their lofty expectations; this is a nostalgia trip worth taking. While not perfect, with beautiful art and music and a combat system that will feel both fresh and familiar, it is a strong contender for one of the best JRPGs of 2023 so far. The plot isn't anything to write home about and it's a tad on the easy side, but it remains engaging, especially for Mana series enthusiasts. Hopefully its proximity to the launch of The Legend of Zelda: Tears of the Kingdom doesn't see Trinity Trigger overshadowed before it gets a chance to shine.","Apr 23, 2023",80
29,trinity trigger,Nintendo Switch,Sikevillian22,User,A fun charming game that has really solid mechanics. No filler or anything to actively waste your time. Story is good with likeable characters & pacing is very well done here in my opinion. It feels very secret of mana especially in combat but puts in a lot of quality of life improvements to make it feel more modern in a good way.. highly recommended!,"May 7, 2023",7.5
30,trinity trigger,Nintendo Switch,Salvince,User,"Definitely a game worth picking up if you'rea fan of dungeon crawlers and anime-esque mana story telling. The mechanics to fighting are fairly simple, easy to understand fight mechanics, stat building, and story progression. Graphics fit the world fairly well, the music feels nostalgic for JRPGs like this game. 
Definitely a one and done kind of game, replay value might not be for everyone. 
The story is priceless and definitely sticks to anime trope.  I'm glad the localizers didn't butcher the story and kept the translation close to the actual game","Oct 12, 2023",8
31,fairy fencer f refrain chord,PlayStation 5,Noisy Pixel,Critic,"Fairy Fencer F: Refrain Chord is a solid tactical adventure with an endearing cast that delivers a charming narrative. The simple yet robust gameplay systems provide a satisfying experience where character growth and customization are at the forefront. For tactical diehards, Refrain Chord may not scratch that itch, but Fairy Fencer fans or those simply wanting to play an intro to the genre should give this a shot.","Apr 24, 2023",66
32,fairy fencer f refrain chord,PlayStation 5,PSX Brasil,Critic,"Fairy Fencer F: Refrain Chord is recommended for those who simply want more Fairy Fencer F, years after the last release. The SRPG gameplay is new to the series, but it's not a big enough novelty to recommend the title to those looking for something focused on strategy.","May 6, 2023",65
33,fairy fencer f refrain chord,null,null,User,null,null,null
34,fairy fencer f refrain chord,null,null,User,null,null,null
35,war mongrels,PC,GRYOnline.pl,Critic,"War Mongrels is a great game with a raw vision of World War II. Fans of Commandos series should be satisfied, history buffs will find some interesting facts, and all gamers will get an original story about redemption and a really solid gameplay.","Sep 19, 2022",68
36,war mongrels,PC,SECTOR.sk,Critic,"War Mongrels is not the worst attempt at an offshoot of Commandos. The missions are comprehensive and with diverse content, the audiovisual side is good. But then there are things that are not good enough.","Jan 23, 2022",65
37,war mongrels,PC,JFK3xp3ri3nc3,User,10/10 Did not experience any game breaking or progress restricting bugs. Needs some polish but it's a game that in spirit is Commandos 4,"Nov 8, 2021",4.7
38,war mongrels,PC,macwic,User,"Great, especially after all the patches. Interesting WW2 theatre in Eastern Europe.","Oct 10, 2023",9
39,r type final 3 evolved,PlayStation 5,Video Chums,Critic,"R-Type Final 3 Evolved is bananas with both its absurd level of difficulty and its vast amount of content to enjoy. So, if you loved your time with R-Type Final 2 then you'll have a blast blowing up Bydo in this badass sequel as well.","Apr 26, 2023",72
40,r type final 3 evolved,null,null,User,null,null,null
41,dorakone,Xbox Series X,TheXboxHub,Critic,"We were on a run of some rather naff visual novels, so praise be for DoraKone. It’s short but sugary sweet, and its writers and designers have taken great care to make sure the hour-or-so of gameplay is endearing and polished. Plus, it’s a lesbian dating sim that uses Pokémon GO for inspiration. How could any visual novel enthusiast say no?","Apr 30, 2023",70
42,dorakone,null,null,User,null,null,null
