,Title,Release Date,Description,Game Link
0,Synthetic Lover,"Dec 22, 2023","In the year 2066, biologically engineered humanoids - 'biots' - make up a large percentage of the workforce.

The protagonist is one such biot and, like the rest of his colleagues, he lives to serve a single purpose: to fulfill his pre-programmed vocation. In his case, that is to be a companion in an adult entertainment center known as Dollhouse.

Servants exist as lifeless dolls until activated upon request, a biot's self-awareness and free will are sealed off by design. That is how the protagonist's days go until crossing paths with an opportunistic thief and a mysterious device in his possession

Synthetic Lover is a sci-fi story about an individual who discovers the challenges of being human. During his journey, he navigates through the ups and downs of an imperfect life while trying to avoid conflict with a powerful organization, learning to understand emotions, forming friendships, and possibly finding love along the way.",https://www.metacritic.com/game/synthetic-lover/
1,Railbreak,"Dec 22, 2023","Power through hordes of zombies, '90s arcade style, in this on-rails survival horror shooter.",https://www.metacritic.com/game/railbreak/
2,Mortal Kombat 1: Quan Chi,"Dec 21, 2023","Quan Chi hasn't been a playable character in a main Mortal Kombat title since Mortal Kombat X. The Netherrealm demon often stars as an antagonist in the series alongside the likes of Shang Tsung, known for his necromancing abilities and dealings with the dead.",https://www.metacritic.com/game/mortal-kombat-1-quan-chi/
3,Three Minutes To Eight,"Dec 21, 2023","Set in the near future, Three Minutes To Eight is a mind-bending pixel art adventure game that breaks the mold by introducing an intriguing twist: the protagonist is destined to meet their demise at precisely 07:57 PM. However, hope is not lost. It's up to you to unravel what lies beneath, uncover secret paths, find ways to cheat death, and unlock multiple endings. 

Each run is distinct, with randomized elements and unique events, urging you to revisit the game multiple times to discover all its hidden mysteries. Find yourself in an ever-evolving gaming experience, mimicking a borderline state of mind that teeters on the edge of consciousness, where everything is possible yet remains elusive.",https://www.metacritic.com/game/three-minutes-to-eight/
4,Bigfoot's Journey,"Dec 20, 2023","Learn about a real Bigfoot - a creature that has learned to hide, survive and travel through other dimensions, and guide him through the mazes.

Among the most important events of the twentieth century, three stand out: man went into space; man has been to the moon; the man became convinced that he was not the only possessor of intelligence on Earth.

Years have passed. The planet is in the middle of the 21st century. Humanity is on the verge of extinction. Nuclear winter is raging. Officially, hominology is listed as a pseudoscience, but in fact it is the most important scientific discipline, because the object of its study is real.",https://www.metacritic.com/game/bigfoots-journey/
5,Asonde Shogi ga Tsuyoku Naru! Ginsei Shogi DX2,"Dec 20, 2023","Shogi software with functions that even beginners can enjoy.

In addition to playing games, there is a ""shogi class"" where you can learn basic rules.

With 3 million joseki, 17 levels of difficulty setting, and various other functions, you can enjoy shogi from beginners to advanced players.",https://www.metacritic.com/game/asonde-shogi-ga-tsuyoku-naru-ginsei-shogi-dx2/
6,Rhapsody II: Ballad of the Little Princess,"Dec 20, 2023",Join Kururu on her journey to find true love and experience the charm of Rhapsody II's storybook adventure!,https://www.metacritic.com/game/rhapsody-ii-ballad-of-the-little-princess/
7,This Bed We Made,"Dec 20, 2023","February 17, 1958. Sophie's shift at the Clarington Hotel begins like any other - until she opens the door to room 505 and a crimson light comes out...

This Bed We Made is a third-person narrative mystery game offering a 4 to 6 hour gameplay experience that allows you to indulge your curiosity about the hidden lives of others. Take on the role of Sophie, a nosy chambermaid in the 1950s, and discover the sinister mystery that binds the hotel guests through the strange objects they bring on their travels.",https://www.metacritic.com/game/this-bed-we-made/
8,"2045, Tsuki Yori.","Dec 20, 2023","2045. The year when it was predicted that ""Technical Singularity - Singularity -"" would come.

However, there is no such sign, and instead the androids created to help people are in the process of permeating human life following six generations.

A boy who hates androids meets a woman in a provincial city who is a cutting-edge android born on the moon. Longing for the human world, she escaped from the research institute and disguised herself as a human to run a coffee shop.",https://www.metacritic.com/game/2045-tsuki-yori/
9,Ravva and the Phantom Library,"Dec 20, 2023","Ravva and the Phantom Library is a pixel-art platformer adventure where you play as a young summoner! 

Armed with powerful companions who hold special powers, your goal is to escape the Phantom Library by exploring the worlds within those haunted books!",https://www.metacritic.com/game/ravva-and-the-phantom-library/
